time_element,username,post_text,thread_page,post_text_cleaned
3:20:00 PM,J. Ramirez,"False alarm, no Tyler Owens like we thought, took a second look and he’s not down there",1,"False alarm, no Tyler Owens like we thought, took a second look and he’s not down there"
3:24:00 PM,J. Ramirez,"Should expect a look at Marcus Ramon-Edwards on special teams tonight, he’s wearing No. 16 to avoid a possible duplicate number situation with Im assuming Nehemiah Martinez",1,"Should expect a look at Marcus Ramon-Edwards on special teams tonight, he’s wearing No. 16 to avoid a possible duplicate number situation with Im assuming Nehemiah Martinez"
3:25:00 PM,J. Ramirez,Cole Spencer is dressed out and warming up,1,Cole Spencer is dressed out and warming up
3:25:00 PM,J. Ramirez,"Rest of the defense has hit the field for warmups, we’re not seeing Bryce Ramirez so far",1,"Rest of the defense has hit the field for warmups, we’re not seeing Bryce Ramirez so far"
3:26:00 PM,J. Ramirez,Not seeing Steve Linton as the team gets lined up for stretches,1,Not seeing Steve Linton as the team gets lined up for stretches
3:27:00 PM,techsan111,Hopefully the second wave of students is coming in a little bit,1,Hopefully the second wave of students is coming in a little bit
3:27:00 PM,BioRaider,Let get ready to go bowling!   ,1,Let get ready to go bowling!
3:29:00 PM,Matador96,Who is #23 warming up with the QBs?,1,Who is #23 warming up with the QBs?
3:29:00 PM,UpperDeckRaider,  Froda said:     View embedded media    Seems like a good sign.    Click to expand...      ,1,
3:29:00 PM,J. Apodaca,"No Linton, Bryce Ramirez, Tyler Owens or Myles Price.",1,"No Linton, Bryce Ramirez, Tyler Owens or Myles Price."
3:30:00 PM,jopritch,"  twooth said:       Get Bowl Elgible Today,  Run it back to back, please LORD .  -     -LETS GOOOO, RED RAIDERS    Click to expand...  It’d be back to back to back.",1,It’d be back to back to back.
3:32:00 PM,techsan111,"  J. Apodaca said:       No Linton, Bryce Ramirez, Tyler Owens or Myles Price.    Click to expand...  Might sound bad but Price is the only one I’m worried about",1,Might sound bad but Price is the only one I’m worried about
3:32:00 PM,J. Ramirez,"Jesiah Pierre and Ty Matthews were taking second team reps at inside linebacker.  Charles Esters was taking third string reps at that same spot, something to monitor in that ILB room.",1,"Jesiah Pierre and Ty Matthews were taking second team reps at inside linebacker. Charles Esters was taking third string reps at that same spot, something to monitor in that ILB room."
3:33:00 PM,Hollywood 08,"  J. Apodaca said:       No Linton, Bryce Ramirez, Tyler Owens or Myles Price.    Click to expand...  Good grief. I thought we were as close to healthy as we have been all year?",1,Good grief. I thought we were as close to healthy as we have been all year?
3:35:00 PM,Redraider3403,  Hollywood 08 said:       Good grief. I thought we were as close to healthy as we have been all year?    Click to expand...  It’s almost like the fans were lied to…again.,1,It’s almost like the fans were lied to…again.
3:38:00 PM,Matador96,"Owens was literally carted off last week. If you thought he was gonna play, that’s a bit of a stretch.",1,"Owens was literally carted off last week. If you thought he was gonna play, that’s a bit of a stretch."
3:39:00 PM,JP_1,Adedire ready to go?,1,Adedire ready to go?
3:39:00 PM,J. Ramirez,"              RedRaiderSports  -  Red Raiders without Price, Ramirez against Central Florida        The Red Raiders will be without key contributors against UCF Saturday night.          texastech.rivals.com          Injury report as we've seen it so far from the box.",2,"RedRaiderSports - Red Raiders without Price, Ramirez against Central Florida The Red Raiders will be without key contributors against UCF Saturday night. texastech.rivals.com Injury report as we've seen it so far from the box."
3:42:00 PM,hawkspur,Backup horse for the Masked Rider,2,Backup horse for the Masked Rider
3:42:00 PM,Matador96,Linton was in street clothes for SR day,2,Linton was in street clothes for SR day
3:42:00 PM,J. Apodaca,"Linton and Pierre were late additions to the senior day festivities, it seems. As is Nehemiah Martinez.",2,"Linton and Pierre were late additions to the senior day festivities, it seems. As is Nehemiah Martinez."
3:42:00 PM,J. Ramirez,"Nehemiah Martinez taking part in senior night festivities, interesting, he's a junior.",2,"Nehemiah Martinez taking part in senior night festivities, interesting, he's a junior."
3:43:00 PM,Matador96,Owens in street clothes as well,2,Owens in street clothes as well
3:44:00 PM,J. Apodaca,No Joseph Plunk.,2,No Joseph Plunk.
3:45:00 PM,techsan111,What are the odds Tahj comes back?  5-10%?,2,What are the odds Tahj comes back? 5-10%?
3:47:00 PM,NYRaider,Sounds like it jumped to 31 senior night participants up from 23 according to the radio guys.,2,Sounds like it jumped to 31 senior night participants up from 23 according to the radio guys.
3:47:00 PM,J. Ramirez,  techsan111 said:       What are the odds Tahj comes back?  5-10%?    Click to expand...  Less than that,2,Less than that
3:47:00 PM,J. Ramirez,"Bryce Ramirez, Myles Price and Tyler Owens all OUT",2,"Bryce Ramirez, Myles Price and Tyler Owens all OUT"
3:47:00 PM,mxraider,"  Hollywood 08 said:       Good grief. I thought we were as close to healthy as we have been all year?    Click to expand...     Redraider3403 said:       It’s almost like the fans were lied to…again.    Click to expand...  With the exception of Linton, all those dudes got hurt last week.  Linton is a weird one as his injury was “back tightness”. With his late addition to the senior night festivities, you have to wonder if he decided to shut himself down for the year in anticipation of being done here.",2,"Redraider3403 said: It’s almost like the fans were lied to…again. Click to expand... With the exception of Linton, all those dudes got hurt last week. Linton is a weird one as his injury was “back tightness”. With his late addition to the senior night festivities, you have to wonder if he decided to shut himself down for the year in anticipation of being done here."
3:48:00 PM,J. Ramirez,"Jacoby Jackson is not 100% but will play, might see Ty Buchanan.  They’re hoping to get Mason Tharp for about 20 snaps, per radio",2,"Jacoby Jackson is not 100% but will play, might see Ty Buchanan. They’re hoping to get Mason Tharp for about 20 snaps, per radio"
3:49:00 PM,TTU09NC,  techsan111 said:       What are the odds Tahj comes back?  5-10%?    Click to expand...  1.75%,2,1.75%
3:50:00 PM,J. Ramirez,Josh Jung is bangin bertha tonight,2,Josh Jung is bangin bertha tonight
3:54:00 PM,PirateMatador,Any word on UCF injuries?,2,Any word on UCF injuries?
3:56:00 PM,J. Ramirez,Independence Bowl rep is in the house,2,Independence Bowl rep is in the house
3:56:00 PM,Hollywood 08,"  mxraider said:       With the exception of Linton, all those dudes got hurt last week.  Linton is a weird one as his injury was “back tightness”. With his late addition to the senior night festivities, you have to wonder if he decided to shut himself down for the year in anticipation of being done here.    Click to expand...  Guess I missed when Price and Ramirez got hurt last week. Joey made it seem like in the press conference Linton would be back.",2,Guess I missed when Price and Ramirez got hurt last week. Joey made it seem like in the press conference Linton would be back.
3:57:00 PM,SoCal Raider,"  techsan111 said:       What are the odds Tahj comes back?  5-10%?    Click to expand...  0.0001% by all accounts.    PirateMatador said:       Any word on UCF injuries?    Click to expand...  As is our luck, UCF is 100% healthy.....maybe for the first time since the opening game of the 1993 season.",2,"0.0001% by all accounts. PirateMatador said: Any word on UCF injuries? Click to expand... As is our luck, UCF is 100% healthy.....maybe for the first time since the opening game of the 1993 season."
3:58:00 PM,tStockton,"  J. Ramirez said:       Josh Jung is bangin bertha tonight    Click to expand...   When he’s not bangin’ homers, he’s bangin Betha. That rules.",2,"When he’s not bangin’ homers, he’s bangin Betha. That rules."
3:58:00 PM,DWDJR,Always good when you can follow up a replay of the 2022 CONCACAF Champions League final,2,Always good when you can follow up a replay of the 2022 CONCACAF Champions League final
3:59:00 PM,jreed1404,Jesus we have got to have some of the worst injury luck.,2,Jesus we have got to have some of the worst injury luck.
4:01:00 PM,wreckemtech5,Do the announcers on FS2 have to pay to work?,2,Do the announcers on FS2 have to pay to work?
4:04:00 PM,J. Apodaca,Tech has won the toss and elected to defer. Tech is now 10-2 in coin tosses this season.,2,Tech has won the toss and elected to defer. Tech is now 10-2 in coin tosses this season.
4:05:00 PM,UpperDeckRaider,  J. Ramirez said:       Josh Jung is bangin bertha tonight    Click to expand...     ,2,
4:05:00 PM,Used2BScooterTX,"  Hollywood 08 said:       Guess I missed when Price and Ramirez got hurt last week. Joey made it seem like in the press conference Linton would be back.    Click to expand...  If you believe a word that comes out of McGuire’s mouth in regards to injuries, that’s on you.",2,"If you believe a word that comes out of McGuire’s mouth in regards to injuries, that’s on you."
4:05:00 PM,ttuboat,Joey is apparently in his second year as Boise st head coach. Thats a new one.,2,Joey is apparently in his second year as Boise st head coach. Thats a new one.
4:05:00 PM,Guardians4312,Never knew Joey was the head coach at Boise State lmao,2,Never knew Joey was the head coach at Boise State lmao
4:06:00 PM,aliefallstar,Anybody know what the score was @1:40 left in the 4th between Purdue & Northwestern?,2,Anybody know what the score was @1:40 left in the 4th between Purdue & Northwestern?
4:06:00 PM,MarkS&C,Any links? I don’t get FS2 unfortunately,2,Any links? I don’t get FS2 unfortunately
4:06:00 PM,jopritch,F*ck UCF.,2,F*ck UCF.
4:07:00 PM,DoubleT1923,  Umm… how does something like this occur?  Boise State?,2,Umm… how does something like this occur? Boise State?
4:08:00 PM,techsan111,Stop playing our DB’s so far off DeRuyter. They’re already abusing it,2,Stop playing our DB’s so far off DeRuyter. They’re already abusing it
4:09:00 PM,TTZKM18,Won't get a single stop if they just execute short easy throws.,2,Won't get a single stop if they just execute short easy throws.
4:09:00 PM,chaseallen_44,Playing really soft coverage.,2,Playing really soft coverage.
4:09:00 PM,wreckemtech5,  DoubleT1923 said:     View embedded media    Umm… how does something like this occur?  Boise State?    Click to expand...  High school kids run the production for FS2,2,High school kids run the production for FS2
4:09:00 PM,KRaider,  DoubleT1923 said:     View embedded media    Umm… how does something like this occur?  Boise State?    Click to expand...  FS2 < ESPN3,2,FS2 < ESPN3
4:09:00 PM,Centex48,Defense looking super…,2,Defense looking super…
4:09:00 PM,techsan111,Opening drive defense couldn’t have been any more pathetic  UCF licking their lips at our soft ass pass coverage,2,Opening drive defense couldn’t have been any more pathetic UCF licking their lips at our soft ass pass coverage
4:09:00 PM,CactusOnTheBrazos,Wow we look bad. Did they not watch film?,2,Wow we look bad. Did they not watch film?
4:10:00 PM,RedRaider3920,Well that didn’t take too long,3,Well that didn’t take too long
4:10:00 PM,jopritch,Illegal forward pass???,3,Illegal forward pass???
4:10:00 PM,GunsUp5,We suck so bad.  Offense going to have to have the game of its life or this will get ugly.,3,We suck so bad. Offense going to have to have the game of its life or this will get ugly.
4:10:00 PM,raiderlex,Marched down the field doing whatever they wanted. Yikes.,3,Marched down the field doing whatever they wanted. Yikes.
4:10:00 PM,aliefallstar,Well that was easy,3,Well that was easy
4:10:00 PM,chaseallen_44,What is Dunlap doing there?,3,What is Dunlap doing there?
4:10:00 PM,cjraider3,That run pass option is fantastic.,3,That run pass option is fantastic.
4:10:00 PM,TxTech08,There's absolutely no way you can tell me there's no illegal man down field on those two plays,3,There's absolutely no way you can tell me there's no illegal man down field on those two plays
4:10:00 PM,txtechx,That was easy for UCF,3,That was easy for UCF
4:10:00 PM,Estebanito,Lmfao defense getting cooked by a directional school from Florida,3,Lmfao defense getting cooked by a directional school from Florida
4:10:00 PM,psizzled,interesting.,3,interesting.
4:10:00 PM,SwampRayder,Swiss cheese,3,Swiss cheese
4:10:00 PM,FiscalKliff,That was utterly pathetic,3,That was utterly pathetic
4:11:00 PM,GrimTrader,That was masterful play calling by UCF. If Kittley ran a series like that you wouldn't hear a single complaint out of me.,3,That was masterful play calling by UCF. If Kittley ran a series like that you wouldn't hear a single complaint out of me.
4:11:00 PM,Rolf C,Come on now.,3,Come on now.
4:11:00 PM,OGRaiderRed,pretty obviously his heels hit,3,pretty obviously his heels hit
4:11:00 PM,CumberlandBlues,2 straight OL downfield 5 yards at pass .,3,2 straight OL downfield 5 yards at pass .
4:11:00 PM,Time To Win,Yawn,3,Yawn
4:11:00 PM,DoubleT1923,We are going to see that play all day long if we don’t defend it any better than we did the first 2 times.  😵‍💫,3,We are going to see that play all day long if we don’t defend it any better than we did the first 2 times. 😵‍💫
4:11:00 PM,ttuboat,I’ve seen enough. We’re not gonna stop plumlee,3,I’ve seen enough. We’re not gonna stop plumlee
4:11:00 PM,SilkAdams,That offense looks damn good,3,That offense looks damn good
4:11:00 PM,jbryanford,DeRuyter does a good job making changes at half... but it would be nice to not have changes to make sometimes.,3,DeRuyter does a good job making changes at half... but it would be nice to not have changes to make sometimes.
4:12:00 PM,JustinH2006,This game at the beginning of the season had me worried. A Malzahn offense can get out of hand quickly.,3,This game at the beginning of the season had me worried. A Malzahn offense can get out of hand quickly.
4:12:00 PM,J. Apodaca,the Plumlee to Hudson roll out TD is wiped.,3,the Plumlee to Hudson roll out TD is wiped.
4:12:00 PM,NismoRaider,Plumlee looked close to LOS on that pass,3,Plumlee looked close to LOS on that pass
4:12:00 PM,Whiterock H0rn,  TxTech08 said:       There's absolutely no way you can tell me there's no illegal man down field on those two plays    Click to expand...  Absolutely was - had an o lineman at the goal line - 4 yards downfield.,3,Absolutely was - had an o lineman at the goal line - 4 yards downfield.
4:12:00 PM,TTZKM18,What a stupid rule.,3,What a stupid rule.
4:12:00 PM,CactusOnTheBrazos,This defense cant help but shit down their leg anytime a QB gets out of the pocket.,3,This defense cant help but shit down their leg anytime a QB gets out of the pocket.
4:12:00 PM,Redraider3403,  cjraider3 said:       That run pass option is fantastic.    Click to expand...  Kittley   ,3,Kittley
4:12:00 PM,cjraider3,Left heel touched ob,3,Left heel touched ob
4:12:00 PM,Malcolm1990,This QB is going to be a problem isn't he,3,This QB is going to be a problem isn't he
4:12:00 PM,techsan111,I’m gonna need DeRuyter and his crew to wake the fvck up. A peewee defense would’ve given UCF a tougher challenge on that drive,3,I’m gonna need DeRuyter and his crew to wake the fvck up. A peewee defense would’ve given UCF a tougher challenge on that drive
4:12:00 PM,Guardians4312,That is an absolutely broken play concept wow,3,That is an absolutely broken play concept wow
4:12:00 PM,OGRaiderRed,Everyone’s gotta chill. Our offense has two amazing first drives most weeks and then does nothing after. Maybe they have their own Kittley,3,Everyone’s gotta chill. Our offense has two amazing first drives most weeks and then does nothing after. Maybe they have their own Kittley
4:12:00 PM,KCAB,"Lineman downfield, WRs blocking 8 yards downfield while the ball is in the air. Ok.",3,"Lineman downfield, WRs blocking 8 yards downfield while the ball is in the air. Ok."
4:12:00 PM,CactusOnTheBrazos,  Whiterock H0rn said:       Absolutely was - had an o lineman at the goal line - 4 yards downfield.    Click to expand...  Also two false starts not called on that drive.,3,Also two false starts not called on that drive.
4:13:00 PM,mxraider,We don’t have the offense to keep up with UCF…  Deyruter remains overrated.,3,We don’t have the offense to keep up with UCF… Deyruter remains overrated.
4:13:00 PM,Redraider3403,Just want to remind all of you of the UT “toe-heel” call.,3,Just want to remind all of you of the UT “toe-heel” call.
4:13:00 PM,DWDJR,Gonna need 38+ to win this. We should feel great about that with our offense.,3,Gonna need 38+ to win this. We should feel great about that with our offense.
4:13:00 PM,GunsUp5,Lol that is flat embarrassing. Not ready to play for the 500th time this year.,3,Lol that is flat embarrassing. Not ready to play for the 500th time this year.
4:13:00 PM,wreckem1959,Well that was easy,4,Well that was easy
4:13:00 PM,Centex48,Someone let DeRuyter and co. know the game started.,4,Someone let DeRuyter and co. know the game started.
4:13:00 PM,huntcass,Looks like they are going to score at will today… our offense better come out strong or this will be a long game,4,Looks like they are going to score at will today… our offense better come out strong or this will be a long game
4:13:00 PM,SwampRayder,Going to need Kittley to call a perfect game.    ,4,Going to need Kittley to call a perfect game.
4:13:00 PM,GrimTrader,  mxraider said:       We don’t have the offense to keep up with UCF…  Deyruter remains overrated.    Click to expand...  Come on man. The defense is the only reason the team ever stands a chance.,4,Come on man. The defense is the only reason the team ever stands a chance.
4:13:00 PM,TxTech08,This is going to be ugly isn't it,4,This is going to be ugly isn't it
4:13:00 PM,CactusOnTheBrazos,Wildcat and QB scrambles meltdown our defense. CF clearly watched film.,4,Wildcat and QB scrambles meltdown our defense. CF clearly watched film.
4:13:00 PM,ronerich,We better make some big adjustments or they are going to push our doo-doo in.,4,We better make some big adjustments or they are going to push our doo-doo in.
4:14:00 PM,AustinRaider6,"Their offense does what our’s does not - give the defense something to think about, and make a decision.",4,"Their offense does what our’s does not - give the defense something to think about, and make a decision."
4:14:00 PM,J. Ramirez,Was not expecting to see a read option into a downfield pass this week but it’s Malzahn so I guess that’s on me,4,Was not expecting to see a read option into a downfield pass this week but it’s Malzahn so I guess that’s on me
4:14:00 PM,MJRaider,Senior day opening drive right there.    Pathetic.,4,Senior day opening drive right there. Pathetic.
4:14:00 PM,tbp59,sort of like ou last year,4,sort of like ou last year
4:14:00 PM,TexasOL05,some of the worst defense you’ll ever see,4,some of the worst defense you’ll ever see
4:14:00 PM,Jordon232,I don’t see this defense getting more than 2 stops today…,4,I don’t see this defense getting more than 2 stops today…
4:14:00 PM,lonewolftacos,The team that scores first usually loses,4,The team that scores first usually loses
4:14:00 PM,Used2BScooterTX,Hope the offense can keep up. UCF will score on us. A lot.,4,Hope the offense can keep up. UCF will score on us. A lot.
4:15:00 PM,koman1,"That is what Mis-Direction, creativity, play action looks like",4,"That is what Mis-Direction, creativity, play action looks like"
4:15:00 PM,MJ Red Raider,Just gross man.  Literally zero defensive effort on that drive.,4,Just gross man. Literally zero defensive effort on that drive.
4:15:00 PM,Estebanito,Remember when we were the dark horse to win the big 12? Now we’re down to a ****ing commuter school fighting and clawing for  6 wins to make a shitty bowl game.   This season sucks man.,4,Remember when we were the dark horse to win the big 12? Now we’re down to a ****ing commuter school fighting and clawing for 6 wins to make a shitty bowl game. This season sucks man.
4:15:00 PM,FiscalKliff,  Used2BScooterTX said:       Hope the offense can keep up. UCF will score on us. A lot.    Click to expand...  Eh. DeRuyter makes good adjustments. My fear is the offense does zilch and the game is over by that point,4,Eh. DeRuyter makes good adjustments. My fear is the offense does zilch and the game is over by that point
4:15:00 PM,jbryanford,We need to be ready to ram Brooks down their throats on this drive.,4,We need to be ready to ram Brooks down their throats on this drive.
4:16:00 PM,Dabox23,"Defense looks lost right now. Hope it’s just for this drive.    Also, why did we give a 5 yard cushion on that post route on 3rd down? Too easy as well.",4,"Defense looks lost right now. Hope it’s just for this drive. Also, why did we give a 5 yard cushion on that post route on 3rd down? Too easy as well."
4:16:00 PM,Centex48,"Defense out here thinking, “wait, we have 3 more weeks of practice in December if we win??”",4,"Defense out here thinking, “wait, we have 3 more weeks of practice in December if we win??”"
4:16:00 PM,J. Ramirez,Not mad at starting at the 31,4,Not mad at starting at the 31
4:16:00 PM,TechRocks,That was way way too easy. A mobile QB faking the run and throwing it late is going to cause us problems today.  Defense has to figure it out quick to keep us in tne game.,4,That was way way too easy. A mobile QB faking the run and throwing it late is going to cause us problems today. Defense has to figure it out quick to keep us in tne game.
4:16:00 PM,Time To Win,Time to dial up some blitzes and take some chances on defense.,4,Time to dial up some blitzes and take some chances on defense.
4:17:00 PM,twooth,"Rodriquez looked terrible in that series,terrible!",4,"Rodriquez looked terrible in that series,terrible!"
4:17:00 PM,JustinH2006,  CactusOnTheBrazos said:       Wildcat and QB scrambles meltdown our defense. CF clearly watched film.    Click to expand...  That was a complaint of UO fans two seasons ago about DeRuyter.,4,That was a complaint of UO fans two seasons ago about DeRuyter.
4:18:00 PM,DWDJR,Morton we healthy now?,4,Morton we healthy now?
4:18:00 PM,jopritch,There we go.,4,There we go.
4:18:00 PM,wreckemtech5,Throwing down the field?? What??,4,Throwing down the field?? What??
4:18:00 PM,Jordon232,Omg what a ball,4,Omg what a ball
4:18:00 PM,00raider,D needs to play less conservative.  Hate playing safeties 15-20 from LOS,4,D needs to play less conservative. Hate playing safeties 15-20 from LOS
4:18:00 PM,Centex48,Xavier White is our best receiver and it’s been criminal how little we’ve gotten him involved this year.,4,Xavier White is our best receiver and it’s been criminal how little we’ve gotten him involved this year.
4:19:00 PM,raiderfan77,Morton’s passes seem to have a little more zip today.,4,Morton’s passes seem to have a little more zip today.
4:19:00 PM,JustinH2006,Hope I don't jinx this but what a good first drive!,4,Hope I don't jinx this but what a good first drive!
4:19:00 PM,techsan111,Tech run game vs UCF run defense graded as one of the biggest mismatches of the weekend and Kittley comes out with the air raid,4,Tech run game vs UCF run defense graded as one of the biggest mismatches of the weekend and Kittley comes out with the air raid
4:19:00 PM,DWDJR,Wait WTF is this?  That ball is humming.,4,Wait WTF is this? That ball is humming.
4:19:00 PM,GunsUp5,Lol,4,Lol
4:19:00 PM,ttuboat,The production value on fs2 is awful. Idk why it annoys me so much.,4,The production value on fs2 is awful. Idk why it annoys me so much.
4:19:00 PM,jbryanford,Brooks missed the hole on that 3rd down run..... if he takes b gap and lowers his head it is a first down..  Ugh.. .terrible...,5,Brooks missed the hole on that 3rd down run..... if he takes b gap and lowers his head it is a first down.. Ugh.. .terrible...
4:19:00 PM,jopritch,FS2 got the B team running this broadcast.,5,FS2 got the B team running this broadcast.
4:19:00 PM,J. Ramirez,Really anticlimactic way for that drive to end,5,Really anticlimactic way for that drive to end
4:19:00 PM,redraider2007,Analytics man 🤣🤣🤣🤣,5,Analytics man 🤣🤣🤣🤣
4:20:00 PM,DWDJR,Naturally we get no points out of it.,5,Naturally we get no points out of it.
4:20:00 PM,GunsUp5,this team is utter trash,5,this team is utter trash
4:20:00 PM,wreckemtech5,Great 4th down call,5,Great 4th down call
4:20:00 PM,Centex48,"Oh God, this game’s going to hurt. Isn’t it?",5,"Oh God, this game’s going to hurt. Isn’t it?"
4:20:00 PM,Time To Win,Kittley sucks on 4th down calls,5,Kittley sucks on 4th down calls
4:20:00 PM,aliefallstar,so stupid,5,so stupid
4:20:00 PM,NYRaider,You have the best RB in the conference and you run that shit on 4th and 1?,5,You have the best RB in the conference and you run that shit on 4th and 1?
4:20:00 PM,NoGood1989,kick the god damn FG,5,kick the god damn FG
4:20:00 PM,chaseallen_44,So freaking stupid.,5,So freaking stupid.
4:20:00 PM,redraider15,Our coaches are absolute morons.,5,Our coaches are absolute morons.
4:20:00 PM,TxTech08,Awesome. Just awesome. One run for Tahj.,5,Awesome. Just awesome. One run for Tahj.
4:20:00 PM,ttuboat,  redraider2007 said:       Analytics man 🤣🤣🤣🤣    Click to expand...  That’s a dumb one to criticize. FGs aren’t gonna win this game.,5,That’s a dumb one to criticize. FGs aren’t gonna win this game.
4:20:00 PM,cjraider3,   ,5,
4:20:00 PM,mxraider,brooks made a terrible read on that run…  Great job getting points on the board Tech.,5,brooks made a terrible read on that run… Great job getting points on the board Tech.
4:20:00 PM,Bluefalcon69,"take the fvcking points, Joey",5,"take the fvcking points, Joey"
4:20:00 PM,GunsUp5,14-0 here and it’s curtains  Watching this team is just freaking brutal,5,14-0 here and it’s curtains Watching this team is just freaking brutal
4:20:00 PM,OGRaiderRed,  Time To Win said:       Kittley sucks    Click to expand...  ,5,
4:20:00 PM,TTZKM18,"4th down, another defensive end goes unblocked.  It happens all the time. What are we teaching?",5,"4th down, another defensive end goes unblocked. It happens all the time. What are we teaching?"
4:20:00 PM,AustinRaider6,I’ve never seen a more predictable offense in my entire life.,5,I’ve never seen a more predictable offense in my entire life.
4:20:00 PM,ConjugalVisits,Lets just run that FG unit out now before something bad happens. (I keed),5,Lets just run that FG unit out now before something bad happens. (I keed)
4:20:00 PM,Whiterock H0rn,"Two guys wide open, and the ball is batted down.",5,"Two guys wide open, and the ball is batted down."
4:21:00 PM,CactusOnTheBrazos,Holy shit this is going to get fvcking ugly,5,Holy shit this is going to get fvcking ugly
4:21:00 PM,TTU15Fan,Can we fire Kittley if we score <20?,5,Can we fire Kittley if we score <20?
4:21:00 PM,hawkspur,Lol a Zach Kittley special.,5,Lol a Zach Kittley special.
4:21:00 PM,SwampRayder,Well being down 14-0 won’t be fun.  It was fun thinking a bowl game was possible.,5,Well being down 14-0 won’t be fun. It was fun thinking a bowl game was possible.
4:21:00 PM,Mustang Power,**** THE **** OFF KITTLEY,5,**** THE **** OFF KITTLEY
4:21:00 PM,TechRocks,Blown opportunity.  Tech shoots itself in the foot.,5,Blown opportunity. Tech shoots itself in the foot.
4:21:00 PM,redraider15,4th and short with one of the best RB’s in the conference? Let’s throw.,5,4th and short with one of the best RB’s in the conference? Let’s throw.
4:21:00 PM,GrimTrader,I think we will be able to put points on this team but I didn't love that 4th down call at all. I hate how quickly Kittley gives up on the run and doubt they would have stopped us twice at that distance.,5,I think we will be able to put points on this team but I didn't love that 4th down call at all. I hate how quickly Kittley gives up on the run and doubt they would have stopped us twice at that distance.
4:21:00 PM,Malcolm1990,"Man, they sure make it hard to defend them sometimes.",5,"Man, they sure make it hard to defend them sometimes."
4:21:00 PM,kreed07,Take the points. That will come back to bite us,5,Take the points. That will come back to bite us
4:21:00 PM,chaseallen_44,Why not run the tush push there? Sheesh.,5,Why not run the tush push there? Sheesh.
