time_element,username,post_text,thread_page
3:27 PM,techsan111,Hopefully the second wave of students is coming in a little bit,1
3:27 PM,BioRaider,Let get ready to go bowling!   ,1
3:29 PM,Matador96,Who is #23 warming up with the QBs?,1
3:29 PM,UpperDeckRaider,  Froda said:     View embedded media    Seems like a good sign.    Click to expand...      ,1
3:29 PM,J. Apodaca,"No Linton, Bryce Ramirez, Tyler Owens or Myles Price.",1
3:30 PM,jopritch,"  twooth said:       Get Bowl Elgible Today,  Run it back to back, please LORD .  -     -LETS GOOOO, RED RAIDERS    Click to expand...  It’d be back to back to back.",1
3:32 PM,techsan111,"  J. Apodaca said:       No Linton, Bryce Ramirez, Tyler Owens or Myles Price.    Click to expand...  Might sound bad but Price is the only one I’m worried about",1
3:32 PM,J. Ramirez,"Jesiah Pierre and Ty Matthews were taking second team reps at inside linebacker.  Charles Esters was taking third string reps at that same spot, something to monitor in that ILB room.",1
3:33 PM,Hollywood 08,"  J. Apodaca said:       No Linton, Bryce Ramirez, Tyler Owens or Myles Price.    Click to expand...  Good grief. I thought we were as close to healthy as we have been all year?",1
3:35 PM,Redraider3403,  Hollywood 08 said:       Good grief. I thought we were as close to healthy as we have been all year?    Click to expand...  It’s almost like the fans were lied to…again.,1
3:38 PM,Matador96,"Owens was literally carted off last week. If you thought he was gonna play, that’s a bit of a stretch.",1
3:39 PM,JP_1,Adedire ready to go?,1
3:39 PM,J. Ramirez,"              RedRaiderSports  -  Red Raiders without Price, Ramirez against Central Florida        The Red Raiders will be without key contributors against UCF Saturday night.          texastech.rivals.com          Injury report as we've seen it so far from the box.",2
3:42 PM,hawkspur,Backup horse for the Masked Rider,2
3:42 PM,Matador96,Linton was in street clothes for SR day,2
3:42 PM,J. Apodaca,"Linton and Pierre were late additions to the senior day festivities, it seems. As is Nehemiah Martinez.",2
3:42 PM,J. Ramirez,"Nehemiah Martinez taking part in senior night festivities, interesting, he's a junior.",2
3:43 PM,Matador96,Owens in street clothes as well,2
3:44 PM,J. Apodaca,No Joseph Plunk.,2
3:45 PM,techsan111,What are the odds Tahj comes back?  5-10%?,2
3:47 PM,NYRaider,Sounds like it jumped to 31 senior night participants up from 23 according to the radio guys.,2
3:47 PM,J. Ramirez,  techsan111 said:       What are the odds Tahj comes back?  5-10%?    Click to expand...  Less than that,2
3:47 PM,J. Ramirez,"Bryce Ramirez, Myles Price and Tyler Owens all OUT",2
3:47 PM,mxraider,"  Hollywood 08 said:       Good grief. I thought we were as close to healthy as we have been all year?    Click to expand...     Redraider3403 said:       It’s almost like the fans were lied to…again.    Click to expand...  With the exception of Linton, all those dudes got hurt last week.  Linton is a weird one as his injury was “back tightness”. With his late addition to the senior night festivities, you have to wonder if he decided to shut himself down for the year in anticipation of being done here.",2
3:48 PM,J. Ramirez,"Jacoby Jackson is not 100% but will play, might see Ty Buchanan.  They’re hoping to get Mason Tharp for about 20 snaps, per radio",2
3:49 PM,TTU09NC,  techsan111 said:       What are the odds Tahj comes back?  5-10%?    Click to expand...  1.75%,2
3:50 PM,J. Ramirez,Josh Jung is bangin bertha tonight,2
3:54 PM,PirateMatador,Any word on UCF injuries?,2
3:56 PM,J. Ramirez,Independence Bowl rep is in the house,2
3:56 PM,Hollywood 08,"  mxraider said:       With the exception of Linton, all those dudes got hurt last week.  Linton is a weird one as his injury was “back tightness”. With his late addition to the senior night festivities, you have to wonder if he decided to shut himself down for the year in anticipation of being done here.    Click to expand...  Guess I missed when Price and Ramirez got hurt last week. Joey made it seem like in the press conference Linton would be back.",2
3:57 PM,SoCal Raider,"  techsan111 said:       What are the odds Tahj comes back?  5-10%?    Click to expand...  0.0001% by all accounts.    PirateMatador said:       Any word on UCF injuries?    Click to expand...  As is our luck, UCF is 100% healthy.....maybe for the first time since the opening game of the 1993 season.",2
3:58 PM,tStockton,"  J. Ramirez said:       Josh Jung is bangin bertha tonight    Click to expand...   When he’s not bangin’ homers, he’s bangin Betha. That rules.",2
3:58 PM,DWDJR,Always good when you can follow up a replay of the 2022 CONCACAF Champions League final,2
3:59 PM,jreed1404,Jesus we have got to have some of the worst injury luck.,2
4:01 PM,wreckemtech5,Do the announcers on FS2 have to pay to work?,2
4:04 PM,J. Apodaca,Tech has won the toss and elected to defer. Tech is now 10-2 in coin tosses this season.,2
4:05 PM,UpperDeckRaider,  J. Ramirez said:       Josh Jung is bangin bertha tonight    Click to expand...     ,2
4:05 PM,Used2BScooterTX,"  Hollywood 08 said:       Guess I missed when Price and Ramirez got hurt last week. Joey made it seem like in the press conference Linton would be back.    Click to expand...  If you believe a word that comes out of McGuire’s mouth in regards to injuries, that’s on you.",2
4:05 PM,ttuboat,Joey is apparently in his second year as Boise st head coach. Thats a new one.,2
4:05 PM,Guardians4312,Never knew Joey was the head coach at Boise State lmao,2
4:06 PM,aliefallstar,Anybody know what the score was @1:40 left in the 4th between Purdue & Northwestern?,2
4:06 PM,MarkS&C,Any links? I don’t get FS2 unfortunately,2
4:06 PM,jopritch,F*ck UCF.,2
4:07 PM,DoubleT1923,  Umm… how does something like this occur?  Boise State?,2
4:08 PM,techsan111,Stop playing our DB’s so far off DeRuyter. They’re already abusing it,2
4:09 PM,TTZKM18,Won't get a single stop if they just execute short easy throws.,2
4:09 PM,chaseallen_44,Playing really soft coverage.,2
4:09 PM,wreckemtech5,  DoubleT1923 said:     View embedded media    Umm… how does something like this occur?  Boise State?    Click to expand...  High school kids run the production for FS2,2
4:09 PM,KRaider,  DoubleT1923 said:     View embedded media    Umm… how does something like this occur?  Boise State?    Click to expand...  FS2 < ESPN3,2
4:09 PM,Centex48,Defense looking super…,2
4:09 PM,techsan111,Opening drive defense couldn’t have been any more pathetic  UCF licking their lips at our soft ass pass coverage,2
4:09 PM,CactusOnTheBrazos,Wow we look bad. Did they not watch film?,2
4:10 PM,RedRaider3920,Well that didn’t take too long,3
4:10 PM,jopritch,Illegal forward pass???,3
4:10 PM,GunsUp5,We suck so bad.  Offense going to have to have the game of its life or this will get ugly.,3
4:10 PM,raiderlex,Marched down the field doing whatever they wanted. Yikes.,3
4:10 PM,aliefallstar,Well that was easy,3
4:10 PM,chaseallen_44,What is Dunlap doing there?,3
4:10 PM,cjraider3,That run pass option is fantastic.,3
4:10 PM,TxTech08,There's absolutely no way you can tell me there's no illegal man down field on those two plays,3
4:10 PM,txtechx,That was easy for UCF,3
4:10 PM,Estebanito,Lmfao defense getting cooked by a directional school from Florida,3
4:10 PM,psizzled,interesting.,3
4:10 PM,SwampRayder,Swiss cheese,3
4:10 PM,FiscalKliff,That was utterly pathetic,3
4:11 PM,GrimTrader,That was masterful play calling by UCF. If Kittley ran a series like that you wouldn't hear a single complaint out of me.,3
4:11 PM,Rolf C,Come on now.,3
4:11 PM,OGRaiderRed,pretty obviously his heels hit,3
4:11 PM,CumberlandBlues,2 straight OL downfield 5 yards at pass .,3
4:11 PM,Time To Win,Yawn,3
4:11 PM,DoubleT1923,We are going to see that play all day long if we don’t defend it any better than we did the first 2 times.  😵‍💫,3
4:11 PM,ttuboat,I’ve seen enough. We’re not gonna stop plumlee,3
4:11 PM,SilkAdams,That offense looks damn good,3
4:11 PM,jbryanford,DeRuyter does a good job making changes at half... but it would be nice to not have changes to make sometimes.,3
4:12 PM,JustinH2006,This game at the beginning of the season had me worried. A Malzahn offense can get out of hand quickly.,3
4:12 PM,J. Apodaca,the Plumlee to Hudson roll out TD is wiped.,3
4:12 PM,NismoRaider,Plumlee looked close to LOS on that pass,3
4:12 PM,Whiterock H0rn,  TxTech08 said:       There's absolutely no way you can tell me there's no illegal man down field on those two plays    Click to expand...  Absolutely was - had an o lineman at the goal line - 4 yards downfield.,3
4:12 PM,TTZKM18,What a stupid rule.,3
4:12 PM,CactusOnTheBrazos,This defense cant help but shit down their leg anytime a QB gets out of the pocket.,3
4:12 PM,Redraider3403,  cjraider3 said:       That run pass option is fantastic.    Click to expand...  Kittley   ,3
4:12 PM,cjraider3,Left heel touched ob,3
4:12 PM,Malcolm1990,This QB is going to be a problem isn't he,3
4:12 PM,techsan111,I’m gonna need DeRuyter and his crew to wake the fvck up. A peewee defense would’ve given UCF a tougher challenge on that drive,3
4:12 PM,Guardians4312,That is an absolutely broken play concept wow,3
4:12 PM,OGRaiderRed,Everyone’s gotta chill. Our offense has two amazing first drives most weeks and then does nothing after. Maybe they have their own Kittley,3
4:12 PM,KCAB,"Lineman downfield, WRs blocking 8 yards downfield while the ball is in the air. Ok.",3
4:12 PM,CactusOnTheBrazos,  Whiterock H0rn said:       Absolutely was - had an o lineman at the goal line - 4 yards downfield.    Click to expand...  Also two false starts not called on that drive.,3
4:13 PM,mxraider,We don’t have the offense to keep up with UCF…  Deyruter remains overrated.,3
4:13 PM,Redraider3403,Just want to remind all of you of the UT “toe-heel” call.,3
4:13 PM,DWDJR,Gonna need 38+ to win this. We should feel great about that with our offense.,3
4:13 PM,GunsUp5,Lol that is flat embarrassing. Not ready to play for the 500th time this year.,3
4:13 PM,wreckem1959,Well that was easy,4
4:13 PM,Centex48,Someone let DeRuyter and co. know the game started.,4
4:13 PM,huntcass,Looks like they are going to score at will today… our offense better come out strong or this will be a long game,4
4:13 PM,SwampRayder,Going to need Kittley to call a perfect game.    ,4
4:13 PM,GrimTrader,  mxraider said:       We don’t have the offense to keep up with UCF…  Deyruter remains overrated.    Click to expand...  Come on man. The defense is the only reason the team ever stands a chance.,4
4:13 PM,TxTech08,This is going to be ugly isn't it,4
4:13 PM,CactusOnTheBrazos,Wildcat and QB scrambles meltdown our defense. CF clearly watched film.,4
4:13 PM,ronerich,We better make some big adjustments or they are going to push our doo-doo in.,4
4:14 PM,AustinRaider6,"Their offense does what our’s does not - give the defense something to think about, and make a decision.",4
4:14 PM,J. Ramirez,Was not expecting to see a read option into a downfield pass this week but it’s Malzahn so I guess that’s on me,4
4:14 PM,MJRaider,Senior day opening drive right there.    Pathetic.,4
4:14 PM,tbp59,sort of like ou last year,4
4:14 PM,TexasOL05,some of the worst defense you’ll ever see,4
4:14 PM,Jordon232,I don’t see this defense getting more than 2 stops today…,4
4:14 PM,lonewolftacos,The team that scores first usually loses,4
4:14 PM,Used2BScooterTX,Hope the offense can keep up. UCF will score on us. A lot.,4
4:15 PM,koman1,"That is what Mis-Direction, creativity, play action looks like",4
4:15 PM,MJ Red Raider,Just gross man.  Literally zero defensive effort on that drive.,4
4:15 PM,Estebanito,Remember when we were the dark horse to win the big 12? Now we’re down to a ****ing commuter school fighting and clawing for  6 wins to make a shitty bowl game.   This season sucks man.,4
4:15 PM,FiscalKliff,  Used2BScooterTX said:       Hope the offense can keep up. UCF will score on us. A lot.    Click to expand...  Eh. DeRuyter makes good adjustments. My fear is the offense does zilch and the game is over by that point,4
4:15 PM,jbryanford,We need to be ready to ram Brooks down their throats on this drive.,4
4:16 PM,Dabox23,"Defense looks lost right now. Hope it’s just for this drive.    Also, why did we give a 5 yard cushion on that post route on 3rd down? Too easy as well.",4
4:16 PM,Centex48,"Defense out here thinking, “wait, we have 3 more weeks of practice in December if we win??”",4
4:16 PM,J. Ramirez,Not mad at starting at the 31,4
4:16 PM,TechRocks,That was way way too easy. A mobile QB faking the run and throwing it late is going to cause us problems today.  Defense has to figure it out quick to keep us in tne game.,4
4:16 PM,Time To Win,Time to dial up some blitzes and take some chances on defense.,4
4:17 PM,twooth,"Rodriquez looked terrible in that series,terrible!",4
4:17 PM,JustinH2006,  CactusOnTheBrazos said:       Wildcat and QB scrambles meltdown our defense. CF clearly watched film.    Click to expand...  That was a complaint of UO fans two seasons ago about DeRuyter.,4
4:18 PM,DWDJR,Morton we healthy now?,4
4:18 PM,jopritch,There we go.,4
4:18 PM,wreckemtech5,Throwing down the field?? What??,4
4:18 PM,Jordon232,Omg what a ball,4
4:18 PM,00raider,D needs to play less conservative.  Hate playing safeties 15-20 from LOS,4
4:18 PM,Centex48,Xavier White is our best receiver and it’s been criminal how little we’ve gotten him involved this year.,4
4:19 PM,raiderfan77,Morton’s passes seem to have a little more zip today.,4
4:19 PM,JustinH2006,Hope I don't jinx this but what a good first drive!,4
4:19 PM,techsan111,Tech run game vs UCF run defense graded as one of the biggest mismatches of the weekend and Kittley comes out with the air raid,4
4:19 PM,DWDJR,Wait WTF is this?  That ball is humming.,4
4:19 PM,GunsUp5,Lol,4
4:19 PM,ttuboat,The production value on fs2 is awful. Idk why it annoys me so much.,4
4:19 PM,jbryanford,Brooks missed the hole on that 3rd down run..... if he takes b gap and lowers his head it is a first down..  Ugh.. .terrible...,5
4:19 PM,jopritch,FS2 got the B team running this broadcast.,5
4:19 PM,J. Ramirez,Really anticlimactic way for that drive to end,5
4:19 PM,redraider2007,Analytics man 🤣🤣🤣🤣,5
4:20 PM,DWDJR,Naturally we get no points out of it.,5
4:20 PM,GunsUp5,this team is utter trash,5
4:20 PM,wreckemtech5,Great 4th down call,5
4:20 PM,Centex48,"Oh God, this game’s going to hurt. Isn’t it?",5
4:20 PM,Time To Win,Kittley sucks on 4th down calls,5
4:20 PM,aliefallstar,so stupid,5
4:20 PM,NYRaider,You have the best RB in the conference and you run that shit on 4th and 1?,5
4:20 PM,NoGood1989,kick the god damn FG,5
4:20 PM,chaseallen_44,So freaking stupid.,5
4:20 PM,redraider15,Our coaches are absolute morons.,5
4:20 PM,TxTech08,Awesome. Just awesome. One run for Tahj.,5
4:20 PM,ttuboat,  redraider2007 said:       Analytics man 🤣🤣🤣🤣    Click to expand...  That’s a dumb one to criticize. FGs aren’t gonna win this game.,5
4:20 PM,cjraider3,   ,5
4:20 PM,mxraider,brooks made a terrible read on that run…  Great job getting points on the board Tech.,5
4:20 PM,Bluefalcon69,"take the fvcking points, Joey",5
4:20 PM,GunsUp5,14-0 here and it’s curtains  Watching this team is just freaking brutal,5
4:20 PM,OGRaiderRed,  Time To Win said:       Kittley sucks    Click to expand...  ,5
4:20 PM,TTZKM18,"4th down, another defensive end goes unblocked.  It happens all the time. What are we teaching?",5
4:20 PM,AustinRaider6,I’ve never seen a more predictable offense in my entire life.,5
4:20 PM,ConjugalVisits,Lets just run that FG unit out now before something bad happens. (I keed),5
4:20 PM,Whiterock H0rn,"Two guys wide open, and the ball is batted down.",5
4:21 PM,CactusOnTheBrazos,Holy shit this is going to get fvcking ugly,5
4:21 PM,TTU15Fan,Can we fire Kittley if we score <20?,5
4:21 PM,hawkspur,Lol a Zach Kittley special.,5
4:21 PM,SwampRayder,Well being down 14-0 won’t be fun.  It was fun thinking a bowl game was possible.,5
4:21 PM,Mustang Power,**** THE **** OFF KITTLEY,5
4:21 PM,TechRocks,Blown opportunity.  Tech shoots itself in the foot.,5
4:21 PM,redraider15,4th and short with one of the best RB’s in the conference? Let’s throw.,5
4:21 PM,GrimTrader,I think we will be able to put points on this team but I didn't love that 4th down call at all. I hate how quickly Kittley gives up on the run and doubt they would have stopped us twice at that distance.,5
4:21 PM,Malcolm1990,"Man, they sure make it hard to defend them sometimes.",5
4:21 PM,kreed07,Take the points. That will come back to bite us,5
4:21 PM,chaseallen_44,Why not run the tush push there? Sheesh.,5
4:21 PM,RaiderRam,  Time To Win said:       Kittley sucks on 4th down calls    Click to expand...  Receiver was open for a first down. QB threw it into swinging arms.,5
4:21 PM,RedRaider2014,Someone hold me,5
4:21 PM,NoGood1989,  ttuboat said:       That’s a dumb one to criticize. FGs aren’t gonna win this game.    Click to expand...  If the defense doesn’t stop sucking balls you’re right,5
4:21 PM,techsan111,Kittley before every game:    ,6
4:22 PM,Guardians4312,My god. That’s an absolutely easy call to go for that on 4th and 1. Play call wasn’t bad at all either. Back to being soft as shit from everyone here,6
4:22 PM,KRaider,"  Centex48 said:       Oh God, this game’s going to hurt. Isn’t it?    Click to expand...     ",6
4:22 PM,Centex48,Kittley loves being down on the scoreboard because then he can justify not giving Tahj carries.,6
4:22 PM,redraider2007,"  NoGood1989 said:       kick the god damn FG    Click to expand...     Bluefalcon69 said:       take the fvcking points, Joey    Click to expand...  Nah. That makes too much sense. Analytics, guys!",6
4:22 PM,mxraider,"We’re at a point we have to beg and pray the defense scores, and they have done that all year.",6
4:22 PM,DWDJR,We aren’t blaming the coaches on that. We are blaming Brooks for dancing on third down. Going for it was the correct decision. Maybe we could have ran it again but whatever. He was open for 6.,6
4:22 PM,raiderfan77,Our coaches make absolute moronic decisions.,6
4:23 PM,Guardians4312,  AustinRaider6 said:       I’ve never seen a more predictable offense in my entire life.    Click to expand...  This is the most common statement said by any fan who has no idea what they are talking about.   Predictable would’ve been running it with Brooks. That was not a predictable play call.,6
4:23 PM,Froda,That had nothing to do with kittley. Brooks ran around the end for some reason. Then a good play made. Guys were wide open.,6
4:23 PM,OGRaiderRed,  ttuboat said:       That’s a dumb one to criticize. FGs aren’t gonna win this game.    Click to expand...  It was one drive for UCF. You take the points,6
4:23 PM,Jordon232,Banks is going to be a dude!,6
4:23 PM,Time To Win,Turnover time!,6
4:23 PM,TechRocks,"  Whiterock H0rn said:       Two guys wide open, and the ball is batted down.    Click to expand...   Wonder how well Morton sees the field. He seems to lock in on his 1st option.",6
4:23 PM,wreckemtech5,Nice job spy,6
4:23 PM,JustinH2006,Running QBs man.,6
4:23 PM,kdixon81,I just can’t get behind not taking points early in the game.  Stupid,6
4:23 PM,jbryanford,Linebacker has got to break down and make that tackle....,6
4:23 PM,Time To Win,Wtf was Rodriquez doing,6
4:23 PM,raiderade1180,Our defense is going to have their hands full today,6
4:24 PM,techsan111,#10 with the worst angle ever letting UCF QB run for a 1st.  We’re about to get blown out. The defense has no showed here.,6
4:24 PM,Redraider3403,Roberts was buns there,6
4:24 PM,jtpmd46,This game is over,6
4:24 PM,J25TxTech,"They weren't even lined up on the 4th. If we run it, we get it.",6
4:24 PM,mxraider,Anything they want whenever they want it. They are going to run for 300 yards.,6
4:24 PM,Jordon232,We need more athletic linebackers. we got dudes being blocked 10 yards down field this is ridiculous.,6
4:24 PM,ttuboat,You know the saying “styles make fights”? This style is our Achilles heel.,6
4:24 PM,CactusOnTheBrazos,Over pursuit and we miss a tackle. Why cant this staff fix that?,6
4:24 PM,ronerich,Our defense looks like complete shit thus far.,6
4:24 PM,wreckedraider07,Gonna get out ass blown off here today it would appear,6
4:24 PM,ttuboat,  OGRaiderRed said:       It was one drive for UCF. You take the points    Click to expand...  Nah,6
4:24 PM,aliefallstar,Plumlee going nuclear today,6
4:25 PM,Centex48,I’m so envious of Malzahn & Plumlee’s offense.,6
4:25 PM,aybuddy777,They look so much faster than us. Our angles are awful.,6
4:26 PM,ttuboat,Man I feel like we dodged a DPI there but I’ll take it,6
4:26 PM,jbryanford,I want to thank their coaches for not running on second down.... or third.,6
4:26 PM,J. Ramirez,Xavier White returning punts tonight in Price’s absence it seems,6
4:26 PM,aliefallstar,Luckily they Kittley’ed that drive.,6
4:26 PM,DWDJR,We’re fine. One terrible angle by Rodriguez that series but we won every other snap.   Now go score.,6
4:26 PM,Rolf C,Defense holds! Let's gooooo!,6
4:26 PM,SwampRayder,Lucky the guy dropped it.,7
4:26 PM,Time To Win,Lucky no PI,7
4:26 PM,J. Apodaca,Dunlap breaks up a vertical route on a 3rd & 8 and Tech gets off the field. Punt rolls out at the TTU 18.UCF 7 | TTU 0 1Q 7:16,7
4:26 PM,AustinRaider6,"  Guardians4312 said:       My god. That’s an absolutely easy call to go for that on 4th and 1. Play call wasn’t bad at all either. Back to being soft as shit from everyone here    Click to expand...  Lol stop shilling my man.    Everyone in the entire world knew a run was coming on 3rd down.  When we lined up in the same formation on 4th down everyone also knew “hmm they probably won’t run the same play twice in a row, right after that got stuffed.  Watch the fake”. And sure enough.    Those two play calls were so predictable a person following the game in braille would have known they were coming.",7
4:26 PM,jopritch,UCF sucks.,7
4:27 PM,chaseallen_44,Is a blind dog operating this camera lmao,7
4:27 PM,mxraider,"  aybuddy777 said:       They look so much faster than us. Our angles are awful.    Click to expand...  We aren’t a fast team, at all.",7
4:27 PM,jbryanford,  ttuboat said:       Man I feel like we dodged a DPI there but I’ll take it    Click to expand...  That would have been SUPER soft.... a better receiver makes the play.,7
4:27 PM,CactusOnTheBrazos,Props to the defense for bailing out Joey and Zach’s ignorance.,7
4:27 PM,AustinRaider6,"  Guardians4312 said:       This is the most common statement said by any fan who has no idea what they are talking about.  Predictable would’ve been running it with Brooks. That was not a predictable play call.    Click to expand...  See my above post.  Stop shilling for kittley man.  It looks bad.  Everyone knew we weren’t about to run that play twice in a row after it got stuffed, and to watch the fake.  Your post is pure gibberish.",7
4:27 PM,JustinH2006,"  aybuddy777 said:       They look so much faster than us. Our angles are awful.    Click to expand...  They have some speed at receiver. I know it's fun to dog on them as a directional school, but they have some talent coming in next year at WR if memory serves correct. I believe at one time they had higher rated skill players than UF.",7
4:28 PM,Centex48,"  ttuboat said:       Man I feel like we dodged a DPI there but I’ll take it    Click to expand...  Our corners refuse to play the ball. They just face guard & hold, and then celebrate if they’re lucky enough not to get called.",7
4:28 PM,Time To Win,  chaseallen_44 said:       Is a blind dog operating this camera lmao    Click to expand...  Intern,7
4:28 PM,MacRed,"  JustinH2006 said:       They have some speed at receiver. I know it's fun to dog on them as a directional school, but they have some talent coming in next year at WR if memory serves correct. I believe at one time they had higher rated skill players than UF.    Click to expand...  Like it or not, UCF is about to be a really good program.  Like contender in the Big 12 good.",7
4:28 PM,jbryanford,"Ok, let's settle down... settle into this game... and go score a TD. Make them show they can stop Brooks this time.. .he isn't going to hit the wrong hole most of the time.",7
4:28 PM,wreckedraider07,"  mxraider said:       We aren’t a fast team, at all.    Click to expand...  Fastest class in the nation - JM  Better hurry and grow up fast…",7
4:29 PM,Froda,I’m not sure why some of you folks watch these game. No joy ever.,7
4:29 PM,CactusOnTheBrazos,"  mxraider said:       We aren’t a fast team, at all.    Click to expand...  And the fans were told all offseason that the team is much faster. I’ve never seen a staff gaslight a fanbase so hard.",7
4:30 PM,mxraider,  wreckedraider07 said:       Fastest team we’ve had - JM    Click to expand...  I’m the fastest person in my house and would probably run a 10.2 40 if I didn’t blow a hammy in the process.  We’ve be unathletic for a long time.,7
4:30 PM,Rolf C,Tahj!!!!,7
4:30 PM,Centex48,"Brooks just said “hey Kittley, this is why you give me the fvcking ball”",7
4:30 PM,GrimTrader,  CactusOnTheBrazos said:       Props to the defense for bailing out Joey and Zach’s ignorance.    Click to expand...  They have done it all year. Folks complaining about the D are ridiculous.,7
4:30 PM,jbryanford,WHy can't our damn right tackle be ready for the play....,7
4:30 PM,Techbassn,Can we stop with the tempo crap,7
4:30 PM,ttuboat,Thank you Tahj,7
4:30 PM,CactusOnTheBrazos,It could be 7-3 with the ball in our hands on our side of the 50… but our coach likes to play games.,7
4:31 PM,redraider2007,Why do we run hurry up? When does it ever work and not result in 2nd & long?,7
4:31 PM,DWDJR,Brooks is obviously great but I look forward to having the speed to make that 6.,7
4:31 PM,Guardians4312,"  AustinRaider6 said:       See my above post.  Stop shilling for kittley man.  It looks bad.  Everyone knew we weren’t about to run that play twice in a row after it got stuffed, and to watch the fake.  Your post is pure gibberish.    Click to expand...  Not shilling whatsoever. Every fan thinks they would’ve made the right call cause they have hindsight. It’s just sad. I’ve been critical of him too but that wasn’t a predictable play call.",7
4:31 PM,Centex48,46 yard run and then we hurry up offense to give it to the tired guy who just ran… why?,7
4:31 PM,raiderfan77,Not sure I’d hand off to Tahj immediately after a 50 yard run…,7
4:31 PM,SwampRayder,Hurry up and waste first down!!,7
4:31 PM,WelkerforPresident,why run hurry up after that brooks run and lose yardage due to wrong play call,7
4:31 PM,Froda,Now hurrying to the line and handing it to a guy after a 45 yard run is not smart. Hate when teams do that.,7
4:31 PM,raiderfan77,Ouch…can’t drop that Xavier.,7
4:31 PM,jbryanford,Great pass... terrible drop.,7
4:32 PM,Bluefalcon69,damn white,7
4:32 PM,Rolf C,Big drop.,7
4:32 PM,alamoraider,Why do we run the same hurry up play every time after a big play?,7
4:32 PM,GunsUp5,So hard to watch,7
4:32 PM,redraider2007,Analytics!,8
4:32 PM,SwampRayder,  Centex48 said:       46 yard run and then we hurry up offense to give it to the tired guy who just ran… why?    Click to expand...  Because Kittley and McGuire are dopes. Full stop.,8
4:32 PM,ttuboat,Welp,8
4:32 PM,NYRaider,Why the **** are we throwing short of the sticks on 4th and 4?,8
4:32 PM,raiderfan77,"4th and 4, throw a 2 yard pass…LOL.",8
4:32 PM,DWDJR,Morton looks noticeably different. Ball is humming. Brooks cost the first drive. Xavier cost the second. These two drives weren’t on Morton or Kittley.,8
4:32 PM,J. Ramirez,that was one of the fourth down calls ever,8
4:32 PM,Whiterock H0rn,These 4th down play calls are awful.,8
4:32 PM,PHF_TTU,2 yard pass on 4th and 4. Brilliant!,8
4:32 PM,J25TxTech,2 yd route on 4th and 4. That is plain stupid.,8
4:32 PM,wreckedraider07,That play call on 4th was complete shit.,8
4:32 PM,FiscalKliff,Dumb,8
4:32 PM,MacRed,Lol,8
4:32 PM,Rolf C,Sigh.,8
