time_element,username,post_text,thread_page,post_text_cleaned,Sentiment
5:12 PM,webredraider,"  J. Apodaca said:       dont wanna alarm anyone because it's still early, but Hutchings isn't necessarily participating in initial warmups.    Click to expand...  He and Rabbit playing to their full ability would be surprising 6 days later. Groin pull and knee sprain not conducive to full go.",1,He and Rabbit playing to their full ability would be surprising 6 days later. Groin pull and knee sprain not conducive to full go.,negative
5:13 PM,jkolb,First game Ive had an emotional investment in all year.,1,First game Ive had an emotional investment in all year.,positive
5:15 PM,Bettycawkder,It sucks saying this but I wouldn't hate it if Tech keeps it within 2 touchdowns.,1,It sucks saying this but I wouldn't hate it if Tech keeps it within 2 touchdowns.,negative
5:25 PM,J. Ramirez,"DJ Crest is listed at 6-foot-3 but he very well may be like 6-foot-5, he is a huge guy. Looks height wise like TJ Vasher. I'm very excited to see him play next year",1,"DJ Crest is listed at 6-foot-3 but he very well may be like 6-foot-5, he is a huge guy. Looks height wise like TJ Vasher. I'm very excited to see him play next year",positive
5:28 PM,Techsan81,"  J. Ramirez said:       DJ Crest is listed at 6-foot-3 but he very well may be like 6-foot-5, he is a huge guy. Looks height wise like TJ Vasher. I'm very excited to see him play next year    Click to expand...  I'd be cool with him playing tonight..",1,I'd be cool with him playing tonight..,positive
5:29 PM,J. Ramirez,"  Techsan81 said:       I'd be cool with him playing tonight..    Click to expand...  Him, TJ West and Kelby Valsin made the trip today.",1,"Him, TJ West and Kelby Valsin made the trip today.",neutral
5:29 PM,NYRaider,"  J. Ramirez said:       DJ Crest is listed at 6-foot-3 but he very well may be like 6-foot-5, he is a huge guy. Looks height wise like TJ Vasher. I'm very excited to see him play next year    Click to expand...  Saw Valsin was on the trip as well.",1,Saw Valsin was on the trip as well.,positive
5:30 PM,Froda,Im a few bourbons in. Forget my score prediction earlier. Screw ut. Lets kick their asses tonight!!,1,Im a few bourbons in. Forget my score prediction earlier. Screw ut. Lets kick their asses tonight!!,positive
5:38 PM,twooth,"  DCSteveJ913 said:    Let's beat these damn horns and send them out of the Big 12 with a loss from the Red Raiders.     Click to expand...          -Piggybacking off DCSteve  -Lets go Red Raiders, last conference game, pedal to the metal, taking no prisoners attitude tonight!",1,"        -Piggybacking off DCSteve  -Lets go Red Raiders, last conference game, pedal to the metal, taking no prisoners attitude tonight!",positive
5:41 PM,J. Ramirez,Jerry Jones is in the house,1,Jerry Jones is in the house,positive
5:43 PM,PTBSLC,  Baby dicks.  Grow the **** up.,1,  Baby dicks.  Grow the **** up.,negative
5:43 PM,J. Ramirez,"Kickoff might be getting pushed back a bit, 60 minutes timer as of right now setting kick at 6:43",1,"Kickoff might be getting pushed back a bit, 60 minutes timer as of right now setting kick at 6:43",positive
5:43 PM,J. Ramirez,"Kickoff might be getting pushed back a bit, 60 minutes timer as of right now setting kick at 6:43",1,"Kickoff might be getting pushed back a bit, 60 minutes timer as of right now setting kick at 6:43",positive
5:44 PM,J. Ramirez,Jaylon Hutchings is OUT per radio,1,Jaylon Hutchings is OUT per radio,negative
5:45 PM,SoCal Raider,"  J. Apodaca said:       dont wanna alarm anyone because it's still early, but Hutchings isn't necessarily participating in initial warmups.    Click to expand...  Radio says that Hutchings is OUT.",1,Radio says that Hutchings is OUT.,negative
5:45 PM,mhansen24,  wreckem1959 said:       1st-In before the meltdown    Click to expand...  We need to have more than a run game as Brooks isnt going to find a lot of room to run.,1,We need to have more than a run game as Brooks isnt going to find a lot of room to run.,negative
5:46 PM,J. Ramirez,"Hutchings avoided a torn ACL like was feared at first, but will not play to",1,"Hutchings avoided a torn ACL like was feared at first, but will not play to",positive
5:48 PM,J. Apodaca,I am extremely curious as to who is playing as the fourth DT.,1,I am extremely curious as to who is playing as the fourth DT.,positive
5:49 PM,J. Apodaca,"No Price, it seems.",1,"No Price, it seems.",negative
5:50 PM,GunsUp5,  J. Ramirez said:       Jaylon Hutchings is OUT per radio    Click to expand...  That really really hurts,2,That really really hurts,negative
5:50 PM,J. Ramirez,Not seeing Myles Price as the punt returners come ou,2,Not seeing Myles Price as the punt returners come ou,negative
5:53 PM,SoCal Raider,Any chance Steve Linton plays?,2,Any chance Steve Linton plays?,neutral
5:53 PM,PTBSLC,Price and Hutchings out isnt good.  Linton was expected.,2,Price and Hutchings out isnt good.  Linton was expected.,positive
5:56 PM,J. Ramirez,"Tim DeRuyter having a pretty spirited discussion on the field with one of the officials, not sure if its friendly joking around or what but theyre making gestures like players would make during play so perhaps TD is looking for clarification on something before the game.",2,"Tim DeRuyter having a pretty spirited discussion on the field with one of the officials, not sure if its friendly joking around or what but theyre making gestures like players would make during play so perhaps TD is looking for clarification on something before the game.",positive
5:58 PM,J. Ramirez,Tyler Owens is fully dressed,2,Tyler Owens is fully dressed,positive
6:00 PM,J. Ramirez,Rabbit is also fully dressed and looks to be having a good time in warmups,2,Rabbit is also fully dressed and looks to be having a good time in warmups,positive
6:04 PM,Matador96,Basketball is up 24-9 on Michigan with 8.00 to play in 1H,2,Basketball is up 24-9 on Michigan with 8.00 to play in 1H,positive
6:04 PM,J. Ramirez,"Radio is talking about Behren Morton being ambidextrous, it would be pretty funny if Kittley had him throw a ball left handed.  Apparently he can do so, only about 25 yards but still",2,"Radio is talking about Behren Morton being ambidextrous, it would be pretty funny if Kittley had him throw a ball left handed.  Apparently he can do so, only about 25 yards but still",positive
6:06 PM,J. Ramirez,Bryce Ramirez is fully dressed and warming up,2,Bryce Ramirez is fully dressed and warming up,positive
6:07 PM,J. Ramirez,Looks like Ledet will get the start with Tony Bradford at DT.  Dooda Banks and Tre McAlpine will be the No. 2s there tonight.,2,Looks like Ledet will get the start with Tony Bradford at DT.  Dooda Banks and Tre McAlpine will be the No. 2s there tonight.,positive
6:08 PM,ronerich,  J. Ramirez said:       Looks like Ledet will get the start with Tony Bradford at DT.  Dooda Banks and Tre McAlpine will be the No. 2s there tonight.    Click to expand...   Hate that Hutchings is going to miss this game.  Hate that for Tech and I hate it for him.  McAlpine is going to have to grow up in a hurry tonight.  Gonna be a REAL test for him and the rest of the DL.,2, Hate that Hutchings is going to miss this game.  Hate that for Tech and I hate it for him.  McAlpine is going to have to grow up in a hurry tonight.  Gonna be a REAL test for him and the rest of the DL.,negative
6:09 PM,J. Ramirez,"Jacob Rodriguez will in fact be out tonight, not seeing him with the linebackers. Was expected but you never know",2,"Jacob Rodriguez will in fact be out tonight, not seeing him with the linebackers. Was expected but you never know",neutral
6:09 PM,J. Ramirez,We are also not seeing Steve Linton,2,We are also not seeing Steve Linton,positive
6:09 PM,J. Ramirez,Cole Spencer is dressed,2,Cole Spencer is dressed,positive
6:11 PM,J. Ramirez,Looks like itll be Jesiah Pierre and Ben Roberts getting the start at ILB,2,Looks like itll be Jesiah Pierre and Ben Roberts getting the start at ILB,positive
6:11 PM,J. Apodaca,"Not seeing EDGE Steve Linton once again. Hasn't played for quite a few weeks and it seems to be the case again. INJURY REPORT (OUT): Hutchings, Linton, Price, Rodriguez (RS).",2,"Not seeing EDGE Steve Linton once again. Hasn't played for quite a few weeks and it seems to be the case again. INJURY REPORT (OUT): Hutchings, Linton, Price, Rodriguez (RS).",negative
6:11 PM,ronerich,"  J. Ramirez said:       Jacob Rodriguez will in fact be out tonight, not seeing him with the linebackers. Was expected but you never know    Click to expand...   I get it, but it still sucks.  Any other rays of sunshine to share before kickoff?  lol",2," I get it, but it still sucks.  Any other rays of sunshine to share before kickoff?  lol",negative
6:13 PM,TechAdvisor,Is this the first game Hutchings will miss due to injury since he got to Tech?,2,Is this the first game Hutchings will miss due to injury since he got to Tech?,positive
6:14 PM,t3xassteelers,McGuire mentioned Linton was going to miss this game on Tuesday,2,McGuire mentioned Linton was going to miss this game on Tuesday,none
6:14 PM,J. Ramirez,"Theyre feeling that pressure, well good for them, were gonna provide more. - Joey McGuire",2,"Theyre feeling that pressure, well good for them, were gonna provide more. - Joey McGuire",positive
6:16 PM,DoubleTea,  J. Ramirez said:       We are also not seeing Steve Linton    Click to expand...  That guy has been the biggest disappointment on the entire team. Always hurt and was underwhelming when he played and some were projecting him to be as good as Tyree. Huge bust.,2,That guy has been the biggest disappointment on the entire team. Always hurt and was underwhelming when he played and some were projecting him to be as good as Tyree. Huge bust.,negative
6:17 PM,Bettycawkder,"  J. Ramirez said:       Theyre feeling that pressure, well good for them, were gonna provide more. - Joey McGuire    Click to expand...   When was this said?",2, When was this said?,neutral
6:17 PM,TTFT77,Whats next mentality!,2,Whats next mentality!,positive
6:17 PM,J. Ramirez,Brett Yormark has found Joey and they exchanged a handshake.  Perhaps another reminder from BY for Tech to take care of business,2,Brett Yormark has found Joey and they exchanged a handshake.  Perhaps another reminder from BY for Tech to take care of business,positive
6:17 PM,mxraider,Line has jump to tech +15.5,2,Line has jump to tech +15.5,positive
6:17 PM,J. Ramirez,  Bettycawkder said:       When was this said?    Click to expand...  Pregame interview on radio,2,Pregame interview on radio,none
6:18 PM,Kimball15,I REALLY want to win  But also I REALLY dont want to get blown out hope we show up,2,I REALLY want to win  But also I REALLY dont want to get blown out hope we show up,positive
6:19 PM,GunsUp5,  mxraider said:       Line has jump to tech +15.5    Click to expand...  News of price and Hutch out is my guess,2,News of price and Hutch out is my guess,negative
6:19 PM,J. Ramirez,"Didnt know Texas does their own spill of the Baylor line but with little kids, I feel sorry for them their upbringing has already been tainted by burnt orange",2,"Didnt know Texas does their own spill of the Baylor line but with little kids, I feel sorry for them their upbringing has already been tainted by burnt orange",negative
6:20 PM,Bettycawkder,  mxraider said:       Line has jump to tech +15.5    Click to expand...   This is not positive. You promised....,2, This is not positive. You promised....,positive
6:23 PM,2techsans,Kickoff @ 6:44 according to TV?,2,Kickoff @ 6:44 according to TV?,neutral
6:24 PM,J. Ramirez,  2techsans said:       Kickoff @ 6:44 according to TV?    Click to expand...  Thats what the stadium clock is also reading so yes,2,Thats what the stadium clock is also reading so yes,positive
6:25 PM,Bettycawkder,Time can't go slow enough waiting on a game. Funny how fast it goes when Thanksgiving dinner approaches.,2,Time can't go slow enough waiting on a game. Funny how fast it goes when Thanksgiving dinner approaches.,positive
6:25 PM,tStockton,  Bettycawkder said:       This is not positive. You promised....    Click to expand...   3 defensive starters out and your leading receiver is tough against a Texas D that doesnt give up much on the ground.  Well have to execute a really good gameplan on offense and keep their speedy receivers covered up on defense.,2, 3 defensive starters out and your leading receiver is tough against a Texas D that doesnt give up much on the ground.  Well have to execute a really good gameplan on offense and keep their speedy receivers covered up on defense.,positive
6:29 PM,wreckem1959,Commissioners comments at the Tech luncheon has been played on the pregame show on tv.,2,Commissioners comments at the Tech luncheon has been played on the pregame show on tv.,neutral
6:30 PM,J. Apodaca,i feel gross just being here,2,i feel gross just being here,negative
6:30 PM,mxraider,"  Bettycawkder said:       This is not positive. You promised....    Click to expand...  Im just reporting the news. You decide how you feel about it  The bigger the spread, the bigger the upset.  Bring it horns    ",2,"Im just reporting the news. You decide how you feel about it  The bigger the spread, the bigger the upset.  Bring it horns    ",positive
6:32 PM,Redraider3403,****ers on TV making it look like we are in last place.,2,****ers on TV making it look like we are in last place.,negative
6:33 PM,rabidraider02,  ,2,  ,none
6:33 PM,J. Ramirez,Believe kick is being pushed back because of senior night happenings,3,Believe kick is being pushed back because of senior night happenings,negative
6:33 PM,BioRaider,Four full minutes until a mention of Texas Tech. What a joke.,3,Four full minutes until a mention of Texas Tech. What a joke.,negative
6:33 PM,marching_band_mark,I just turned the game on..is this the Longhorn Network?,3,I just turned the game on..is this the Longhorn Network?,negative
6:34 PM,ronerich,  Redraider3403 said:       ****ers on TV making it look like we are in last place.    Click to expand...   It just popped in my head about how bad the announcers are going to slobber all over the Longhorns tonight.,3, It just popped in my head about how bad the announcers are going to slobber all over the Longhorns tonight.,negative
6:34 PM,kreed07,That 54-18 series is rough,3,That 54-18 series is rough,negative
6:34 PM,Chrome21,Let's do this.   They're beatable unless we play scared as we do sometimes when we play the big bad wolf,3,Let's do this.   They're beatable unless we play scared as we do sometimes when we play the big bad wolf,negative
6:35 PM,mhunter12,"  Chrome21 said:       Let's do this.  They're beatable unless we play scared as we do sometimes when we play the big bad wolf    Click to expand...  I do t think we play scared tonight.   I dont think we have the horses to win, but I think we hit them in the mouth.",3,"I do t think we play scared tonight.   I dont think we have the horses to win, but I think we hit them in the mouth.",positive
6:35 PM,Bettycawkder,  Chrome21 said:       Let's do this.  They're beatable unless we play scared as we do sometimes when we play the big bad wolf    Click to expand...   Fking this.,3, Fking this.,none
6:35 PM,J. Ramirez,This stupid ass cannon is stupid,3,This stupid ass cannon is stupid,negative
6:36 PM,jnewt2008,"Trying to tell myself that life will go on no matter what happens, but I really hate these scumbags so Im all in:    ",3,"Trying to tell myself that life will go on no matter what happens, but I really hate these scumbags so Im all in:    ",negative
6:36 PM,Chrome21,  kreed07 said:       That 54-18 series is rough    Click to expand...  Tech has always accepted inferiority to Texas. We've played them scared.,3,Tech has always accepted inferiority to Texas. We've played them scared.,negative
6:36 PM,wreckemtech5,Tech by a million. Please dont hurt me boys,3,Tech by a million. Please dont hurt me boys,none
6:37 PM,Redraider3403,  Any chance the first guy who scores for Tech hits a massive double horns down and the ref does a fist pump? Because thats what the Longhorns deserve.,3,  Any chance the first guy who scores for Tech hits a massive double horns down and the ref does a fist pump? Because thats what the Longhorns deserve.,negative
6:37 PM,TTUfirebird2008,Looks like McGuire is pretty good buddies with Sarkisian. Joey sure has a lot of friends in the world.,3,Looks like McGuire is pretty good buddies with Sarkisian. Joey sure has a lot of friends in the world.,positive
6:37 PM,J. Ramirez,"Kelshaun Johnson, teammate of 2025 QB commit Lloyd Jones, is in the building",3,"Kelshaun Johnson, teammate of 2025 QB commit Lloyd Jones, is in the building",positive
6:37 PM,wreckemtech5,  Redraider3403 said:       Any chance the first guy who scores for Tech hits a massive double horns down and the ref does a fist pump? Because thats what the Longhorns deserve.    Click to expand...  Yormark better have told them not to flag horns down tonight or he should be fired immediately,3,Yormark better have told them not to flag horns down tonight or he should be fired immediately,negative
6:37 PM,Dabox23,Hope our football team starts off as well as our basketball team.,3,Hope our football team starts off as well as our basketball team.,positive
6:38 PM,BioRaider,  ,3,  ,none
6:38 PM,Chrome21,No bowl game for TCU after dykes gets a ride awakening and falls back down to normal with less GP players lmaoooo.  Sonny Dykes isn't a good coach,3,No bowl game for TCU after dykes gets a ride awakening and falls back down to normal with less GP players lmaoooo.  Sonny Dykes isn't a good coach,negative
6:39 PM,kreed07,"  Chrome21 said:       Tech has always accepted inferiority to Texas. We've played them scared.    Click to expand...  I hope we spank them but I got the 70-35 game stuck in my head and I got a bad feeling about this game.   At the end of the day, hope to knock them out of the playoffs",3,"I hope we spank them but I got the 70-35 game stuck in my head and I got a bad feeling about this game.   At the end of the day, hope to knock them out of the playoffs",positive
6:40 PM,Redraider3403,Texas taking forever for senior day to pull down the Tech energy.,3,Texas taking forever for senior day to pull down the Tech energy.,negative
6:40 PM,baseballtrey6,  Chrome21 said:       Tech has always accepted inferiority to Texas. We've played them scared.    Click to expand...  Yeah has nothing to do with the decades of their rosters full of All Americans and NFL players.,3,Yeah has nothing to do with the decades of their rosters full of All Americans and NFL players.,negative
6:41 PM,Redraider3403,  baseballtrey6 said:       Yeah has nothing to do with the decades of their rosters full of All Americans and NFL players.    Click to expand...  We lost to Case McCoy.,3,We lost to Case McCoy.,negative
6:41 PM,houstonlaxman,"This thanksgiving I am thankful for Harris, Jensen & @C. Level . They are sounding good and not having to hear Dusty Dip$hit is an added bonus  LFG",3,"This thanksgiving I am thankful for Harris, Jensen & @C. Level . They are sounding good and not having to hear Dusty Dip$hit is an added bonus  LFG",positive
6:42 PM,raiderlex,Find. A. Way.,3,Find. A. Way.,positive
6:42 PM,BuckarooWillie,  Redraider3403 said:       Texas taking forever for senior day to pull down the Tech energy.    Click to expand...  ****ers dont know we brought crustables,3,****ers dont know we brought crustables,positive
6:42 PM,SoCal Raider,"  BioRaider said:       Four full minutes until a mention of Texas Tech. What a joke.    Click to expand...     BioRaider said:       Four full minutes until a mention of Texas Tech. What a joke.    Click to expand...     marching_band_mark said:       I just turned the game on..is this the Longhorn Network?    Click to expand...     ronerich said:       It just popped in my head about how bad the announcers are going to slobber all over the Longhorns tonight.    Click to expand...  1000% PREDICTABLE.....and if we somehow pull off a major upset, the stories will be all about Texas's failure....that's the way it is and the way it always will be.  They are the phuckin' GD royal family and we are peasants who are nothing but window dressing.",3,"   BioRaider said:       Four full minutes until a mention of Texas Tech. What a joke.    Click to expand...     marching_band_mark said:       I just turned the game on..is this the Longhorn Network?    Click to expand...     ronerich said:       It just popped in my head about how bad the announcers are going to slobber all over the Longhorns tonight.    Click to expand...  1000% PREDICTABLE.....and if we somehow pull off a major upset, the stories will be all about Texas's failure....that's the way it is and the way it always will be.  They are the phuckin' GD royal family and we are peasants who are nothing but window dressing.",negative
6:42 PM,J. Ramirez,"Rabbit is the speaking captain, calls tails, losses the coin toss.  Texas defers.",3,"Rabbit is the speaking captain, calls tails, losses the coin toss.  Texas defers.",neutral
6:42 PM,redraider2007,Its a UT infomercial so far on this broadcast. No surprise.,3,Its a UT infomercial so far on this broadcast. No surprise.,negative
6:43 PM,RestlessRaider,"If we win this game, I will never say a negative thing about this football program again.",3,"If we win this game, I will never say a negative thing about this football program again.",positive
6:44 PM,Rolf C,Is this game on ABC or is this just the Longhorn Network feed being rebroadcast?  Sickening.,3,Is this game on ABC or is this just the Longhorn Network feed being rebroadcast?  Sickening.,negative
6:44 PM,Chrome21,"  RestlessRaider said:       If we win this game, I will never say a negative thing about this football program again.    Click to expand...  If Joey November wins this...wow. talk about a statement",3,If Joey November wins this...wow. talk about a statement,positive
6:45 PM,kreed07,Time to see what Tech team shows up. Lets get it,3,Time to see what Tech team shows up. Lets get it,positive
6:46 PM,TTechsan12,One. Last. Time.  LFG,3,One. Last. Time.  LFG,positive
6:46 PM,J. Ramirez,Thats one way to get Tahj the ball,3,Thats one way to get Tahj the ball,positive
6:46 PM,J. Apodaca,"Watts, starting corner, down for UT. Looked like a leg.",3,"Watts, starting corner, down for UT. Looked like a leg.",negative
6:46 PM,kreed07,Kittley literally throws to the short side of the field? That was a bad first play call,3,Kittley literally throws to the short side of the field? That was a bad first play call,negative
6:47 PM,wreckemtech5,big brain move for kittley to call that play to get their starting corner hurt,3,big brain move for kittley to call that play to get their starting corner hurt,negative
6:47 PM,Techbassn,Kittley just screwing with us isnt he,3,Kittley just screwing with us isnt he,negative
6:48 PM,GoneWest1,UT is already faking injuries to slow our momentum. I smell fear in Austin.,3,UT is already faking injuries to slow our momentum. I smell fear in Austin.,negative
6:48 PM,BuckarooWillie,I just got a bad language warning from the kids,4,I just got a bad language warning from the kids,none
6:48 PM,J. Ramirez,Brady Boyd got the start at one of the slot receiver positions,4,Brady Boyd got the start at one of the slot receiver positions,positive
6:48 PM,marching_band_mark,This looks like a significant injury for this kid. Hope hes okay.,4,This looks like a significant injury for this kid. Hope hes okay.,positive
6:49 PM,J. Ramirez,"  GoneWest1 said:       UT is already faking injuries to slow our momentum. I smell fear in Austin.    Click to expand...  Not even sure hes faking it, hes been down for a good bit already",4,"Not even sure hes faking it, hes been down for a good bit already",negative
6:49 PM,Pete_Cawthon,Someday that wide receiver screen is going to work.,4,Someday that wide receiver screen is going to work.,positive
6:50 PM,Guardians4312,Hope this kid is alright. Always scary when they havent gotten up and hes trying to flex his hands.,4,Hope this kid is alright. Always scary when they havent gotten up and hes trying to flex his hands.,none
6:50 PM,Happyfive,  marching_band_mark said:       This looks like a significant injury for this kid. Hope hes okay.    Click to expand...  Who,4,Who,none
6:50 PM,J. Apodaca,  Pete_Cawthon said:       Someday that wide receiver screen is going to work.    Click to expand...  that was actually a running back screen,4,that was actually a running back screen,positive
6:50 PM,marching_band_mark,  Pete_Cawthon said:       Someday that wide receiver screen is going to work.    Click to expand...  Kittley is setting up the pump fake and post.,4,Kittley is setting up the pump fake and post.,positive
6:50 PM,babyphil,"  marching_band_mark said:       This looks like a significant injury for this kid. Hope hes okay.    Click to expand...  I want all the longhorns to be seriously hurt and in severe pain today. Tomorrow I want them to fully recover, but today, death's door.",4,"I want all the longhorns to be seriously hurt and in severe pain today. Tomorrow I want them to fully recover, but today, death's door.",negative
6:50 PM,Bighunk,Kittley needs to forget about the lateral pass,4,Kittley needs to forget about the lateral pass,negative
6:51 PM,TechRocks,Kittley calls the dreaded WR screen for zero yardage. That play has been utter crap all year.,4,Kittley calls the dreaded WR screen for zero yardage. That play has been utter crap all year.,negative
6:52 PM,FiscalKliff,  TechRocks said:       Kittley calls the dreaded WR screen for zero yardage. That play has been utter crap all year.    Click to expand...  Love it especially to the short side of the field,4,Love it especially to the short side of the field,positive
6:52 PM,J. Ramirez,Looks like two designed passes and one that Behren checked into on second down,4,Looks like two designed passes and one that Behren checked into on second down,positive
6:52 PM,kreed07,That throw looked off by Morton,4,That throw looked off by Morton,negative
6:52 PM,GunsUp5,"That isnt gonna cut it, Kittley",4,"That isnt gonna cut it, Kittley",negative
6:52 PM,RaiderTim,Attack the middle of the field.,4,Attack the middle of the field.,positive
6:52 PM,raiderlex,Ugh.,4,Ugh.,negative
6:52 PM,J. Ramirez,  kreed07 said:       That throw looked off by Morton    Click to expand...  Wasnt the prettiest for sure,4,Wasnt the prettiest for sure,negative
6:52 PM,Pete_Cawthon,Best RB in the country and we dont use him,4,Best RB in the country and we dont use him,positive
6:53 PM,kreed07,"Easy PI or taunting. Refs letting them ""play""",4,"Easy PI or taunting. Refs letting them ""play""",negative
6:53 PM,rabidraider02,How tF was that not pi,4,How tF was that not pi,negative
6:53 PM,InterestedObserver,Thought Yormark wasnt gonna let the refs screw us?  That was PI.,4,Thought Yormark wasnt gonna let the refs screw us?  That was PI.,negative
6:53 PM,OGRaiderRed,PI and taunting? Hope next injury is to that DB,4,PI and taunting? Hope next injury is to that DB,negative
6:53 PM,J. Ramirez,Jackson Knotts is hurt,4,Jackson Knotts is hurt,negative
6:53 PM,NYRaider,So much for us getting any calls tonight.,4,So much for us getting any calls tonight.,negative
6:53 PM,FiscalKliff,"Yikes Morton, settle in",4,"Yikes Morton, settle in",negative
6:53 PM,J. Apodaca,"Knotts, the long snapper, down after the punt.",4,"Knotts, the long snapper, down after the punt.",positive
6:53 PM,TechRocks,Geez.. pure crap first series.,4,Geez.. pure crap first series.,negative
6:53 PM,J. Ramirez,Next LS would be Jacob Mauch,4,Next LS would be Jacob Mauch,positive
6:53 PM,CactusOnTheBrazos,  rabidraider02 said:       How tF was that not pi    Click to expand...  We are playing in Austin... have you never seen us play here before?,4,We are playing in Austin... have you never seen us play here before?,positive
6:53 PM,Stimulus Progression,Straight ass.,4,Straight ass.,none
6:53 PM,techsan111,Was that not just a blatant hold of Eakins arm?,4,Was that not just a blatant hold of Eakins arm?,negative
6:53 PM,TTUcrew09,Not one run play.  Not even one!!!,4,Not one run play.  Not even one!!!,negative
6:54 PM,kreed07,Knotts being hurt is a big injury.,4,Knotts being hurt is a big injury.,negative
6:54 PM,houstonlaxman,Well so much for ut claim that the big 12 officials were going to give tech the game,4,Well so much for ut claim that the big 12 officials were going to give tech the game,negative
6:54 PM,GunsUp5,That was a clear defensive holding no call there,4,That was a clear defensive holding no call there,negative
6:54 PM,Chrome21,Awful no call.   Refs will take over the ****ing game 06-09 style if we keep it close,4,Awful no call.   Refs will take over the ****ing game 06-09 style if we keep it close,negative
6:54 PM,TechRocks,Would like to see an occasional pass over the middle.,4,Would like to see an occasional pass over the middle.,neutral
6:54 PM,kreed07,  techsan111 said:       Was that not just a blatant hold of Eakins arm?    Click to expand...  Yep it was a bad no call for PI and then taunting. Joey should be all over that refs face,5,Yep it was a bad no call for PI and then taunting. Joey should be all over that refs face,negative
6:54 PM,rljones7,"Its early but I still dont think Morton is the answer.  When he gets pressure he bails, mechanics and footwork got to shit and his accuracy drops in half.",5,"Its early but I still dont think Morton is the answer.  When he gets pressure he bails, mechanics and footwork got to shit and his accuracy drops in half.",negative
6:54 PM,Saltraider,"I hate Kittley.  No matter what happens, I simply cannot understand the guy.",5,"I hate Kittley.  No matter what happens, I simply cannot understand the guy.",negative
